"Spotify.Streams","Spotify.Playlist.Count","YouTube.Views","YouTube.Likes","TikTok.Posts","TikTok.Views","Apple.Music.Playlist.Count","Shazam.Counts","AirPlay.Spins","Explicit.Track"
1369299352,169370,815137609,5138837,80456,77860109,188,4283369,50322,0
410897040,71655,428412819,3256737,15791,79348588,37,2764964,5585,1
847578246,122390,817730890,8045419,735926,1343189392,20,2901322,452,0
2447973078,221822,2732311956,15274815,52698,168789459,261,153863,228874,0
59262518,22927,10706220,108566,64,88944,3,124136,215,1
162889846,45505,82186979,804789,16659,49371617,1,351439,1319,1
77757035,3407,100148771,2531168,99900,366905484,27,173263,1861,0
103132095,16094,224457485,1342976,366475,285847760,6,118786,52,0
553783547,83450,238368386,2671201,481825,2994040421,57,3470453,355757,1
111266488,19017,10259020,89765,5925,17703236,33,670189,45605,0
1777196966,241108,2624180055,21763865,4715288,1024805500,125,14696531,153475,0
2830962669,233504,2083619058,11898213,1750319,792720612,218,5869,122867,0
401979272,80139,236719624,1667710,101915,203030554,75,1750278,15171,0
1265080733,198773,356598545,5539172,333375,579006925,120,9785960,766,1
1135588382,132498,375823933,3028107,119383,120059618,69,2299610,30368,0
167885356,35425,623156045,4494258,62871,35359820,14,288490,4,1
161990851,31668,187450025,1297403,9929,28786547,5,412492,576,1
675984633,147651,118564792,1898029,156693,882048158,8,1248383,10,0
181695722,14262,188904937,781510,270390,1079156243,8,567312,1645,0
912294568,117541,332759355,5731914,595407,1255165488,122,2324716,225952,0
941989512,202958,680420701,5796336,248312,239082117,49,6223045,37387,0
502147027,69350,543883053,3896527,1444867,208386139,64,3345381,131301,0
499085551,64967,189120015,2445070,193708,864218422,125,3990487,199403,0
148686610,37054,445811,5554,6040,61668626,55,740382,50791,0
665464734,90805,419361718,3354831,100817,296169569,104,6223371,381613,0
467454503,25221,627711778,7180269,622000,189880241,18,397715,921,0
21167612,1285,147951356,1755973,16500,70103300,5,47782,284,0
878349171,126275,522643821,6171768,1243962,3582425112,107,3613901,12503,0
90921914,34656,4568866,49813,1115,1606512,3,81523,162,1
66813186,11024,75881981,409473,4842,34091093,11,395093,1245,1
13502324,3124,212073431,567112,36441,136579723,1,106448,1,0
180186017,32769,36595510,280859,33689,23448462,23,670748,187197,0
130902100,56267,24521973,347778,75,505539,29,555191,3981,1
